"State","Percent of establishments"
"Alabama","16.9"
"Alaska","19.9"
"Arizona","31.1"
"Arkansas","17.9"
"California","22.4"
"Colorado","32.0"
"Connecticut","22.4"
"Delaware","29.0"
"District of Columbia","45.9"
"Florida","25.6"
"Georgia","25.5"
"Hawaii","19.3"
"Idaho","22.2"
"Illinois","22.9"
"Indiana","24.6"
"Iowa","17.6"
"Kansas","21.7"
"Kentucky","17.8"
"Louisiana","14.5"
"Maine","23.0"
"Maryland","30.6"
"Massachusetts","29.1"
"Michigan","20.2"
"Minnesota","28.9"
"Mississippi","11.0"
"Missouri","21.5"
"Montana","21.5"
"Nebraska","18.8"
"Nevada","25.1"
"New Hampshire","31.0"
"New Jersey","23.0"
"New Mexico","18.6"
"New York","20.0"
"North Carolina","26.8"
"North Dakota","15.8"
"Ohio","20.2"
"Oklahoma","16.6"
"Oregon","27.3"
"Pennsylvania","22.6"
"Rhode Island","25.4"
"South Carolina","26.7"
"South Dakota","22.9"
"Tennessee","24.5"
"Texas","20.0"
"Utah","26.9"
"Vermont","26.2"
"Virginia","24.7"
"Washington","31.7"
"West Virginia","13.8"
"Wisconsin","22.4"
"Wyoming","18.3"
"Puerto Rico","11.9"
"Virgin Islands","18.7"
