Date,Ridership,% of pre-pandemic
3/2/20,379775,0.95
3/3/20,388262,0.93
3/4/20,384382,0.93
3/5/20,375216,0.9
3/6/20,328949,0.88
3/7/20,113388,0.76
3/8/20,74791,0.79
3/9/20,301547,0.76
3/10/20,292192,0.7
3/11/20,268192,0.65
3/12/20,231260,0.55
3/13/20,186605,0.5
3/14/20,187191,0.39
3/15/20,87006,0.39
3/16/20,118572,0.3
3/17/20,54031,0.13
3/18/20,48085,0.12
3/19/20,46121,0.11
3/20/20,42461,0.09
3/21/20,18793,0.13
3/22/20,12737,0.13
3/23/20,34933,0.09
3/24/20,32117,0.08
3/25/20,29584,0.08
3/26/20,31601,0.08
3/27/20,13134,0.08
3/28/20,12389,0.08
3/29/20,9453,0.1
3/30/20,29584,0.07
3/31/20,28877,0.07
4/1/20,29896,0.07
4/2/20,28649,0.07
4/3/20,28449,0.07
4/4/20,11430,0.05
4/5/20,7835,0.08
4/6/20,24909,0.06
4/7/20,26378,0.07
4/8/20,25507,0.06
4/9/20,24688,0.06
4/10/20,24401,0.06
4/11/20,11322,0.07
4/12/20,7582,0.08
4/13/20,24277,0.06
4/14/20,23890,0.06
4/15/20,24498,0.06
4/16/20,23779,0.06
4/17/20,24006,0.06
4/18/20,11249,0.07
4/19/20,22997,0.06
4/20/20,22997,0.06
4/21/20,23277,0.06
4/22/20,24025,0.06
4/23/20,24093,0.06
4/24/20,24530,0.06
4/25/20,11895,0.08
4/26/20,14242,0.06
4/27/20,24409,0.06
4/28/20,25007,0.06
4/29/20,25202,0.06
4/30/20,25687,0.06
5/1/20,27074,0.07
5/2/20,13163,0.1
5/3/20,9963,0.1
5/4/20,27070,0.07
5/5/20,27562,0.07
5/6/20,27576,0.07
5/7/20,28113,0.07
5/8/20,28220,0.07
5/9/20,13679,0.1
5/10/20,10221,0.1
5/11/20,27408,0.07
5/12/20,28173,0.07
5/13/20,29119,0.07
5/14/20,28366,0.07
5/15/20,30170,0.07
5/16/20,14484,0.1
5/17/20,14784,0.1
5/18/20,29555,0.07
5/19/20,30978,0.07
5/20/20,31271,0.08
5/21/20,31384,0.08
5/22/20,31376,0.08
5/23/20,15186,0.11
5/24/20,11720,0.11
5/25/20,13133,0.11
5/26/20,32527,0.08
5/27/20,32168,0.08
5/28/20,33461,0.08
5/29/20,34152,0.08
5/30/20,15568,0.11
5/31/20,11924,0.12
6/1/20,32142,0.08
6/2/20,32711,0.08
6/3/20,37911,0.09
6/4/20,34725,0.09
6/5/20,35404,0.09
6/6/20,12339,0.11
6/7/20,13839,0.11
6/8/20,37361,0.09
6/9/20,38406,0.09
6/10/20,39225,0.1
6/11/20,39676,0.1
6/12/20,39117,0.1
6/13/20,21186,0.14
6/14/20,21866,0.14
6/15/20,41832,0.1
6/16/20,43115,0.11
6/17/20,44446,0.11
6/18/20,44528,0.11
6/19/20,47103,0.12
6/20/20,22908,0.15
6/21/20,16413,0.14
6/22/20,43671,0.11
6/23/20,45289,0.11
6/24/20,45321,0.11
6/25/20,45304,0.11
6/26/20,45002,0.11
6/27/20,22997,0.15
6/28/20,17640,0.15
6/29/20,43663,0.11
6/30/20,45628,0.11
7/1/20,47183,0.11
7/2/20,46450,0.11
7/3/20,32725,0.18
7/4/20,18568,0.14
7/5/20,17169,0.17
7/6/20,44928,0.11
7/7/20,47220,0.11
7/8/20,47231,0.11
7/9/20,46946,0.11
7/10/20,45972,0.11
7/11/20,23874,0.15
7/12/20,17777,0.17
7/13/20,45396,0.11
7/14/20,46264,0.11
7/15/20,46456,0.11
7/16/20,46021,0.11
7/17/20,45652,0.11
7/18/20,22612,0.14
7/19/20,17258,0.16
7/20/20,42089,0.1
7/21/20,45290,0.11
7/22/20,45712,0.11
7/23/20,45847,0.11
7/24/20,44300,0.11
7/25/20,22791,0.14
7/26/20,17145,0.16
7/27/20,45318,0.11
7/28/20,45085,0.11
7/29/20,45918,0.11
7/30/20,44899,0.11
