"2022 U.S. Business Response Survey on Telework, Hiring, and Vacancies, U.S. Bureau of Labor Statistics",,,,,,,,,
"Table 19: Establishments open in February 2020, with any employees teleworking before the COVID-19 pandemic, by industry*",,,,,,,,,
"Reference: February 2020, before the COVID-19 pandemic",,,,,,,,,
Industry,NAICS1,Percentage of establishments ,Percentage of establishments standard error ,Number of establishments ,Number of establishments standard error,Percentage of employment in establishments ,Percentage of employment in establishments standard error,Employment in establishments ,Employment in establishments standard error
"Total, U.S. private sector 2",00,23.3,0.32,"1,976,740","27,398",26.1,0.50,"31,700,691","618,317"
Natural resources and mining,11-21,7.4,0.68,"9,852",913,13.9,1.40,"244,516","24,322"
Utilities,22,20.6,1.80,"3,995",346,21.8,3.64,"118,822","19,867"
Construction,23,9.8,0.37,"77,805","2,941",15.4,0.73,"1,142,828","54,392"
Manufacturing,31-33,20.4,0.67,"69,798","2,283",31.4,1.54,"3,875,811","191,214"
Wholesale trade,42,37.2,1.37,"207,209","7,600",29.6,1.29,"1,682,871","73,826"
Retail trade,44-45,8.3,0.76,"82,835","7,669",12.2,1.23,"1,884,756","190,144"
Transportation and warehousing,48-49,13.2,1.29,"34,710","3,415",18.6,2.83,"1,104,607","170,475"
Information,51,58.7,2.15,"114,076","4,134",56.6,4.52,"1,593,112","129,621"
Financial activities,52-53,28.7,1.33,"261,630","12,168",38.5,2.04,"3,215,262","171,749"
Professional and business services,54-56,41.1,0.90,"768,637","16,845",40.0,1.27,"8,460,853","271,060"
Educational services,61,38.5,1.69,"48,872","2,143",44.1,3.68,"1,254,838","105,378"
Health care and social assistance,62,16.3,1.09,"150,810","9,957",28.2,1.89,"5,403,149","364,283"
"Arts, entertainment, and recreation",71,22.3,1.52,"33,260","2,254",25.1,1.97,"488,259","39,295"
Accommodation and food services,72,2.1,0.45,"14,171","2,938",3.2,0.53,"385,520","65,294"
"Other services, except public administration",81,16.7,1.09,"99,079","6,419",21.5,1.08,"845,485","41,891"
*Detail may not sum to total due to rounding,,,,,,,,,
"1North American Industry Classification System, 2017",,,,,,,,,
"2Total, U.S. private sector includes the 50 states, District of Columbia, Puerto Rico, and U.S. Virgin Islands",,,,,,,,,
